,id,cast,director
192,260513,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell']",['Brad Bird']
193,162,"['Johnny Depp', 'Winona Ryder', 'Dianne Wiest']",['Tim Burton']
194,324552,"['Keanu Reeves', 'Common', 'Ian McShane']",['Chad Stahelski']
195,49538,"['James McAvoy', 'Michael Fassbender', 'Kevin Bacon']",['Matthew Vaughn']
196,185,"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates']",['Stanley Kubrick']
197,4922,"['Brad Pitt', 'Cate Blanchett', 'Taraji P. Henson']",['David Fincher']
198,218,"['Arnold Schwarzenegger', 'Michael Biehn', 'Linda Hamilton']",['James Cameron']
199,165,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']",['Robert Zemeckis']
200,280,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong']",['James Cameron']
201,769,"['Ray Liotta', 'Robert De Niro', 'Joe Pesci']",['Martin Scorsese']
202,64690,"['Ryan Gosling', 'Carey Mulligan', 'Bryan Cranston']",['Nicolas Winding Refn']
203,68726,"['Charlie Hunnam', 'Rinko Kikuchi', 'Idris Elba']",['Guillermo del Toro']
204,131634,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",['Francis Lawrence']
205,82690,"['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer']",['Rich Moore']
206,141,"['Jake Gyllenhaal', 'Jena Malone', 'James Duval']",['Richard Kelly']
207,72105,"['Mark Wahlberg', 'Mila Kunis', 'Seth MacFarlane']",['Seth MacFarlane']
208,64682,"['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan']",['Baz Luhrmann']
209,277834,"[""Auli'i Cravalho"", 'Dwayne Johnson', 'Rachel House']","['John Musker', 'Ron Clements']"
210,399055,"['Sally Hawkins', 'Michael Shannon', 'Richard Jenkins']",['Guillermo del Toro']
211,85,"['Harrison Ford', 'Karen Allen', 'Paul Freeman']",['Steven Spielberg']
212,19908,"['Jesse Eisenberg', 'Woody Harrelson', 'Emma Stone']",['Ruben Fleischer']
213,127380,"['Albert Brooks', 'Ellen DeGeneres', ""Ed O'Neill""]",['Andrew Stanton']
214,296096,"['Emilia Clarke', 'Sam Claflin', 'Janet McTeer']",['Thea Sharrock']
215,530915,"['George MacKay', 'Dean-Charles Chapman', 'Mark Strong']",['Sam Mendes']
216,398818,"['Timothée Chalamet', 'Armie Hammer', 'Michael Stuhlbarg']",['Luca Guadagnino']
